Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales;contradiction_rationales
remove tomcat-embed-logging-juli ( <pr_link> );fixes <issue_link>;remove the space ( <pr_link> );follow up for pr#4339;Similar;0.8131699562072754;0.5412749648094177;
modify consumer  <file_name> : param type from string to map;param type from string to map;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.8151147365570068;0.6774095296859741;
fix dubbo.properties cannot work on <iden>;dubbo.properties cannot work on <iden>;fix protocol register set false not work ( <pr_link> );not work;Similar;0.8714758157730103;0.7434687614440918;
Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Update README.md ( <pr_link> )  <enter> add @override annotation;to include the @override annotation;Similar;0.8121321797370911;0.7809131145477295;
Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.8116360306739807;0.7264185547828674;
Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Change <iden> to regular list in <file_name> (<pr_link>);to regular list;Similar;0.804818868637085;0.28094223141670227;
Reduce object allocation for <method_name>;"-
None";Refactor: remove;and replace it with <method_name> ( <pr_link> );Similar;0.8075862526893616;0.4715743958950043;0.644738495349884
Reduce object allocation for <method_name>;"-
None";Remove unused import for unit test;clear unused import;Similar;0.8178287744522095;0.7698398232460022;
Reduce object allocation for <method_name>;"-
None";remove the space ( <pr_link> );follow up for pr#4339;Similar;0.8969687223434448;0.27918529510498047;0.5987668037414551
Refactor: remove;and replace it with <method_name> ( <pr_link> );Remove unused import for unit test;clear unused import;Similar;0.8008731007575989;0.45252639055252075;
Refactor: remove;and replace it with <method_name> ( <pr_link> );remove the space ( <pr_link> );follow up for pr#4339;Similar;0.8866569399833679;0.5840358138084412;
Remove unused import for unit test;clear unused import;remove the space ( <pr_link> );follow up for pr#4339;Similar;0.8242831230163574;0.26162993907928467;
switch from <iden> to regular list;in order to avoid potential UnsupportedOperationException ( <pr_link> );Change <iden> to regular list in <file_name> (<pr_link>);to regular list;Similar;0.8345868587493896;0.33977481722831726;
Update README.md ( <pr_link> )  <enter> add @override annotation;to include the @override annotation;Change <iden> to regular list in <file_name> (<pr_link>);to regular list;Similar;0.8008075952529907;0.4206172823905945;
Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Change <iden> to regular list in <file_name> (<pr_link>);to regular list;Similar;0.8483456373214722;0.45102694630622864;0.9034736156463623
